ATRIBUTO;VARIABLE;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
UsoCodigo;UsoCodigo;Código del uso de tierra;Tabla de usos de tierra;;
UsoDescripcion;UsoDescripcion;Descripción del uso de tierra;Tabla de usos de tierra;;
