ATRIBUTO;VARIABLE;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
ProductoCodigo;ProductoCodigo;Código del tipo de producción en establecimiento;Tabla de tipos de producción en establecimiento;;
ProductoDescripcion;ProductoDescripcion;Descripción del tipo de producción en establecimiento;Tabla de tipos de producción en establecimiento;;
