ATRIBUTO;XML;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
MejoramientoCodigo;MejoramientoCodigo;Código del mejoramiento de tierra;Tabla de mejoramientos de tierra;;
MejoramientoDescripcion;MejoramientoDescripcion;Descripción del mejoramiento de tierra;Tabla de mejoramientos de tierra;;
