ATRIBUTO;VARIABLE;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
TenenciaCodigo;TenenciaCodigo;Código de la tenencia de tierra;Tabla de tenencias de tierra;;
TenenciaDescripcion;TenenciaDescripcion;Descripción de la tenencia de tierra;Tabla de tenencias de tierra;;
