ejercicio,remision,d_rem,precio_real,d_precio_prev
2005,1320.87,9.06664705175494,18.694249018987957,21.45814160088895
2006,1373.1100000000001,3.878762970746865,17.748816744523836,0.7502522800102706
2007,1398.588,1.8384916132425753,17.136683579317562,-5.189708605009454
2008,1394.944,-0.2608885143854179,27.521434345706087,-3.5097447092539564
2009,1522.593,8.756053138183484,18.807100828898644,47.37437275005613
2010,1499.771,-1.5102372693465584,17.883899295781926,-38.07306296384188
2011,1659.377,10.112980093375395,21.19880048555874,-5.033367480000894
2012,1968.181,17.066753522514404,21.40232014129121,17.004377181869522
2013,1916.344,-2.669056180267736,19.051280789087762,0.9554734761027114
2014,2021.466,5.340378662059948,22.0475185545855,-11.636500163271402
2015,2022.1725978,0.03494861324037872,19.495400653460898,14.606572601741041
2016,1857.109128,-8.515143050083875,14.971777005105933,-12.302148452871295
2017,1833.921309,-1.256458024256732,16.639958964680734,-26.401167802172953
2018,2011.65315155,9.250038133838864,16.715494844845406,10.564007352254281
2019,1996.00831966,-0.7807501444044477,15.593347283310818,0.4529154945383195
2020,2013.8997356999998,0.892366334585493,16.79733342492003,-6.949175717138363
2021,2110.04424722,4.663590812177501,17.87568910085717,7.437578200481101
2022,2105.257203612,-0.22712708553519131,19.943969672746306,6.222148982992868
2023,2088.8672707,-0.7815703346043469,19.191498703928836,10.948518666577732
2024,2077.5959459582427,-0.5410513258703675,16.317582925926395,-3.8459420457148665
2025,2096.2433188933333,0.8935416925012071,17.569029498403033,-16.222417160422186
2026,2307.2381703359656,9.590436500048801,16.646314681258154,7.3894430846161026
