id,ejercicio,lluvia,lluvia_normal,lluvia_anom,thi_dias,gw,gw_z
0101001,2021,888.5357993452845,1151.3050871522987,-22.82360173157596,24,0.7575824372759856,0.4194771645243906
0101001,2022,811.553131415303,1151.3050871522987,-29.510158473924303,31,0.7489518689196109,0.1521143413705534
0101001,2023,676.6611735908588,1151.3050871522987,-41.22659743782165,62,0.6620153609831029,-2.5410559386461053
0101001,2024,1287.12815898789,1151.3050871522987,11.797313618368827,39,0.700608144852305,-1.3455059791797153
0101001,2025,808.5776478546053,1151.3050871522987,-29.768602877054448,43,0.6872508960573477,-1.759294689253506
0101001,2026,736.637914957676,1151.3050871522987,-36.01714061911107,42,0.6923702636968766,-1.600703907239032
0101002,2021,900.5460585371424,1162.486656948584,-22.532783223423014,24,0.7575824372759856,0.4194771645243906
0101002,2022,838.9438956376964,1162.486656948584,-27.831954833800523,31,0.7489518689196109,0.1521143413705534
0101002,2023,689.3066105366493,1162.486656948584,-40.70412710404668,62,0.6620153609831029,-2.5410559386461053
0101002,2024,1336.1202275181283,1162.486656948584,14.93639256258785,39,0.700608144852305,-1.3455059791797153
0101002,2025,826.8566978809727,1162.486656948584,-28.871725714995108,43,0.6872508960573477,-1.759294689253506
0101002,2026,757.7943166413562,1162.486656948584,-34.812643903329295,42,0.6923702636968766,-1.600703907239032
0101003,2021,894.1164367215554,1164.0513591060433,-23.189262249716357,24,0.7575824372759856,0.4194771645243906
0101003,2022,828.4909822885272,1164.0513591060433,-28.8269391373948,31,0.7489518689196109,0.1521143413705534
0101003,2023,677.755790189699,1164.0513591060433,-41.77612655250922,62,0.6620153609831029,-2.5410559386461053
0101003,2024,1321.7088401813426,1164.0513591060433,13.543859542106075,39,0.700608144852305,-1.3455059791797153
0101003,2025,823.4848415567448,1164.0513591060433,-29.25700098068211,43,0.6872508960573477,-1.759294689253506
0101003,2026,751.2096803295458,1164.0513591060433,-35.46593331530901,42,0.6923702636968766,-1.600703907239032
0101004,2021,898.0701612511849,1171.599034580713,-23.346628433115548,24,0.7575824372759856,0.4194771645243906
0101004,2022,837.4794912900059,1171.599034580713,-28.51825013753792,31,0.7489518689196109,0.1521143413705534
0101004,2023,679.6336854505738,1171.599034580713,-41.990931590875,62,0.6620153609831029,-2.5410559386461053
0101004,2024,1335.2068417036073,1171.599034580713,13.964488045301755,39,0.700608144852305,-1.3455059791797153
0101004,2025,829.3616279093718,1171.599034580713,-29.211137647772098,43,0.6872508960573477,-1.759294689253506
0101004,2026,754.47006576019,1171.599034580713,-35.603389599053685,42,0.6923702636968766,-1.600703907239032
0101005,2021,893.4844318632997,1169.2759987916806,-23.5865242434961,24,0.7575824372759856,0.4194771645243906
0101005,2022,848.2473492959751,1169.2759987916806,-27.455335594628952,31,0.7489518689196109,0.1521143413705534
0101005,2023,668.6381007488275,1169.2759987916806,-42.81605870301006,62,0.6620153609831029,-2.5410559386461053
0101005,2024,1326.6875491261067,1169.2759987916806,13.462309197921936,39,0.700608144852305,-1.3455059791797153
0101005,2025,823.5821747262611,1169.2759987916806,-29.564775504043222,43,0.6872508960573477,-1.759294689253506
