id,ejercicio,lluvia,lluvia_normal,lluvia_anom,thi_dias,gw,gw_z
01,2021,878.0534111012342,1145.0534062148747,-23.317689259249857,24,0.7575824372759856,0.4194771645243906
01,2022,827.8266890277575,1145.0534062148747,-27.70409794559295,31,0.7489518689196109,0.1521143413705534
01,2023,660.8724218438723,1145.0534062148747,-42.284576574600706,62,0.6620153609831029,-2.5410559386461053
01,2024,1280.6891957323994,1145.0534062148747,11.845367978589463,39,0.700608144852305,-1.3455059791797153
01,2025,798.8314087841961,1145.0534062148747,-30.23631872116438,43,0.6872508960573477,-1.759294689253506
01,2026,719.3297057502784,1145.0534062148747,-37.17937505394462,42,0.6923702636968766,-1.600703907239032
02,2021,1184.192098786094,1467.762634659747,-19.319917892540545,99,0.6953947772657451,-0.810622167608294
02,2022,1091.479612278739,1467.762634659747,-25.636503716299938,94,0.6878739759344598,-0.9869147513143891
02,2023,967.0668610181658,1467.762634659747,-34.11285733933751,116,0.6791687788018433,-1.1909703600958494
02,2024,1966.5105368725574,1467.762634659747,33.98014709159216,112,0.7280557718452602,-0.045026738716747214
02,2025,1344.4670723069714,1467.762634659747,-8.40023852912413,106,0.6930186251920123,-0.8663207520948164
02,2026,1274.9647896767692,1467.762634659747,-13.135492104121566,103,0.6901153353814644,-0.9343757956205565
03,2021,928.2021909124236,1162.497432512207,-20.15447389793037,40,0.7104044418842805,-0.3412071884863968
03,2022,896.3839474451395,1162.497432512207,-22.89153314446337,41,0.7010844214029698,-0.6139585118095573
03,2023,683.7061010140533,1162.497432512207,-41.1864420606474,79,0.6382061571940604,-2.4540971473022757
03,2024,1368.1573963192448,1162.497432512207,17.691218755003838,66,0.6712378877765418,-1.4874202772146634
03,2025,843.7913495223384,1162.497432512207,-27.415637581334796,62,0.6614049539170507,-1.7751820613977958
03,2026,742.5628241450754,1162.497432512207,-36.123486953397816,63,0.6444295314900154,-2.2719694815786977
04,2021,1183.7300487188495,1345.6057400869204,-12.029949527237777,44,0.6916002944188427,-0.6739513447289119
04,2022,1101.4351762741335,1345.6057400869204,-18.14577305511602,36,0.6750956221198157,-0.9367739472642291
04,2023,1061.5839402613083,1345.6057400869204,-21.107356439135398,67,0.6422662570404506,-1.4595531344795616
04,2024,1923.8910572738762,1345.6057400869204,42.97583608327957,66,0.6358524595229267,-1.5616873014081323
04,2025,1435.2917187017117,1345.6057400869204,6.665100775283406,48,0.7049095622119815,-0.4620127896423977
04,2026,892.8204823344305,1345.6057400869204,-33.649177040760975,57,0.6120556195596518,-1.9406313542163196
05,2021,834.505719336423,1134.7307342559277,-26.457819979324874,48,0.686121799795187,-0.8674149743836826
05,2022,930.6916534341163,1134.7307342559277,-17.981277378161884,42,0.7012128136200717,-0.4750258777253989
05,2023,624.367832815737,1134.7307342559277,-44.976564574577154,88,0.6292249103942652,-2.3468198237702316
05,2024,1313.0788271806834,1134.7307342559277,15.71721709306686,71,0.6541981522679521,-1.6974779085646339
05,2025,1062.0325820378814,1134.7307342559277,-6.406643446184292,64,0.6555187532002048,-1.6631402946133265
05,2026,941.7565221726028,1134.7307342559277,-17.00616774162402,70,0.644318612391193,-1.9543608305886335
06,2021,1004.6005736153784,1317.4818973298488,-23.74843436927593,59,0.6967853302611368,-0.6318168637598295
06,2022,1116.820085033513,1317.4818973298488,-15.230707359472554,51,0.7096177035330261,-0.3506979239054691
06,2023,845.2928311794519,1317.4818973298488,-35.84026976821361,102,0.6327347670250896,-2.0349732443052653
06,2024,1632.4630261081065,1317.4818973298488,23.90781455264262,85,0.6366384872080089,-1.9494544040986506
06,2025,1091.9028113753852,1317.4818973298488,-17.12198751357772,76,0.6470037122375832,-1.722383307433395
06,2026,815.2788176458916,1317.4818973298488,-38.118404564174746,76,0.6460341141833078,-1.7436243024798732
07,2021,855.5467983016571,1273.9397538740584,-32.842444417019394,48,0.6692345750128008,-1.0100229713569482
07,2022,1114.3279103212387,1273.9397538740584,-12.528994645738866,43,0.6887258064516129,-0.5058930250865261
07,2023,727.2100684300171,1273.9397538740584,-42.91644748359826,92,0.627497311827957,-2.0895342537971002
07,2024,1553.9662365034958,1273.9397538740584,21.981140142449842,74,0.6402570757631937,-1.7595100002096518
07,2025,1022.4903609324995,1273.9397538740584,-19.73793440207041,68,0.6374879032258065,-1.8311331199119139
07,2026,749.2479914385714,1273.9397538740584,-41.18654440603618,71,0.6295153609831029,-2.037338525920771
08,2021,981.9417894783207,1276.0141500869522,-23.04616767679201,33,0.7077758576548899,-0.5773212507442399
08,2022,1049.8576073986962,1276.0141500869522,-17.72367043679295,34,0.7065951740911418,-0.6033416567988051
08,2023,777.2127909311863,1276.0141500869522,-39.09058211633278,74,0.6348933691756272,-2.1835364998811952
08,2024,1591.9030508692313,1276.0141500869522,24.755908918467185,61,0.6451400630329996,-1.9577155067954217
08,2025,970.0342390561112,1276.0141500869522,-23.979350935096637,51,0.6471820276497696,-1.9127138229329497
08,2026,796.6331033111344,1276.0141500869522,-37.56863093901828,57,0.6392711853558628,-2.0870563267513544
09,2021,1111.1854872326755,1299.341271296101,-14.480859510891921,25,0.6765000640040962,-0.2801678433460796
09,2022,1044.610428725518,1299.341271296101,-19.604614137784406,28,0.6447327828981054,-0.7490265517573144
