fecha,lluvia,lluvia_n,lluvia3_anom,lluvia6_anom,gw,gw_z,thi_dias,t
1991-01-01,82.3490613696297,102.84894823025279,,,,,,
1991-02-01,29.872636017445522,101.98975304828137,,,,,,
1991-03-01,19.074628009895676,113.662778954528,-58.77685551071996,,,,,
1991-04-01,107.78546754277089,109.32177097655091,-51.77073075218921,,,,,
1991-05-01,110.64654175135864,97.0420434080879,-25.785343391036964,,,,,
1991-06-01,133.50968495973976,88.73324635873176,19.263029379995533,-21.245246300316655,,,,
1991-07-01,122.61699978393007,85.46243252895226,35.22205664855112,-12.194666348173733,,,,
1991-08-01,62.40402970537112,79.70051013006047,25.457067977802204,-3.1163479049212017,,,,
1991-09-01,78.98742151612406,91.84184539197503,2.7251099123678513,11.564586607410154,,,,
1991-10-01,149.11576870888663,117.23842032848478,0.5978389921478477,17.367631355225434,,,,
1991-11-01,65.35122269088355,98.25115911858865,-4.515324760694972,9.044015699679008,,,,
1991-12-01,121.97682425046517,110.25963881421481,3.2830769160492324,3.0370036330390704,,,,
1992-01-01,48.44365212429663,102.84894823025279,-24.27675639799183,-12.307384738782634,,,,
1992-02-01,69.22277788383582,101.98975304828137,-23.946519620490925,-14.352157109179087,,,,
1992-03-01,66.05858874976443,113.662778954528,-42.31580379988915,-19.259872651470044,,,,
1992-04-01,120.44412822666116,109.32177097655091,-21.309010430740738,-22.76113550920392,,,,
1992-05-01,92.70152398915592,97.0420434080879,-12.755925045991868,-18.30780561226405,,,,
1992-06-01,122.93888364731652,88.73324635873176,13.889489450187241,-15.285073234716906,,,,
1992-07-01,53.33049506560412,85.46243252895226,-0.8357316875060361,-11.994999208510105,,,,
1992-08-01,71.0411789945495,79.70051013006047,-2.5938283421080066,-8.260341833647145,,,,
1992-09-01,56.125425852566075,91.84184539197503,-29.768973846156342,-6.433634137627253,,,,
1992-10-01,78.29703127661668,117.23842032848478,-28.85134562070535,-15.282345066060032,,,,
1992-11-01,90.43124926048966,98.25115911858865,-26.83673447730578,-15.869381256492565,,,,
1992-12-01,71.24315192609747,110.25963881421481,-26.33246098208002,-27.84802372502091,,,,
1993-01-01,121.96415551715266,102.84894823025279,-8.903266976842627,-18.5020549543216,,,,
1993-02-01,118.93697152336108,101.98975304828137,-0.9375045026477125,-13.7255292707403,,,,
1993-03-01,76.2496171578014,113.662778954528,-0.4240909755768407,-13.52400890467882,,,,
1993-04-01,176.20325033665347,109.32177097655091,14.28283270797679,2.9378196254519873,,,,
1993-05-01,125.98048237707302,97.0420434080879,18.250594715565114,8.730990154422535,,,,
1993-06-01,80.24753043790112,88.73324635873176,29.59507701915294,14.01298416333956,,,,
1993-07-01,54.99217380289641,85.46243252895226,-3.693267880703477,6.104875248659702,,,,
1993-08-01,69.39307294575713,79.70051013006047,-19.402974113859926,1.593131512156143,,,,
1993-09-01,42.092112067023464,91.84184539197503,-35.22402439340967,-0.578376405372838,,,,
1993-10-01,159.1320834501378,117.23842032848478,-6.2897217912468495,-5.032162894401693,,,,
1993-11-01,161.71666725048618,98.25115911858865,18.0942895630416,1.1307401739908851,,,,
1993-12-01,124.93268339503246,110.25963881421481,36.84804417184775,5.062991636173653,,,,
