id,ejercicio,prod,venta,rem,dens,prod_chg,venta_chg,rem_chg,dens_chg,prod_cmp,venta_cmp,rem_cmp,dens_cmp
0102005,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0102005,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0102005,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0102005,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0102006,2021,96543,91833,1,4835.818508753416,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0102006,2022,99550,95230,1,4986.438504566903,3.114674290212651,3.699105985865647,0,3.114674290212653,ok,ok,ok,ok
0102006,2023,110708,105708,1,5545.340371306807,11.20843797086891,11.002835240995484,0,11.208437970868898,ok,ok,ok,ok
0102006,2024,105370,100370,1,5277.961077109137,-4.8216931025761465,-5.04975971544254,0,-4.8216931025761465,ok,ok,ok,ok
0102006,2025,82360,78000,1,4125.395029996284,-21.837335104868558,-22.287536116369434,0,-21.837335104868558,ok,ok,ok,ok
0201001,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0201001,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201001,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201001,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201001,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201002,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0201002,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201002,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201002,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201002,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201003,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0201003,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201003,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201003,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201003,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201004,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0201004,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201004,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201004,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201004,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201005,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0201005,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201005,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201005,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201005,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201006,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0201006,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201006,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201006,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0201006,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202001,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0202001,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202001,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202001,2024,120,70,0,0.41404756771133727,,,,,sin_base,sin_base,sin_produccion,sin_base
0202001,2025,0,0,0,0,-100,-100,,-100,ok,ok,sin_produccion,ok
0202002,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0202002,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202002,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202002,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202002,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202003,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0202003,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202003,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202003,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202003,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202004,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0202004,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202004,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202004,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202004,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202005,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0202005,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202005,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202005,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0202005,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203001,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203001,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203001,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203001,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203001,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203002,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203002,2022,35000,34000,0,81.44303198962804,,,,,sin_base,sin_base,sin_produccion,sin_base
0203002,2023,35365,34000,0,82.29236646609131,1.042857142857143,0,,1.0428571428571498,ok,ok,sin_produccion,ok
0203002,2024,47365,46000,0,110.21569171967806,33.93185352749894,35.294117647058826,,33.93185352749894,ok,ok,sin_produccion,ok
0203002,2025,53015,49000,0,123.36292402657516,11.928639290615433,6.521739130434782,,11.92863929061543,ok,ok,sin_produccion,ok
0203003,2021,176850,165000,0,938.0224895668667,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203003,2022,172300,160000,0,913.8890299823079,-2.572801809443031,-3.0303030303030303,,-2.5728018094430256,ok,ok,sin_produccion,ok
0203003,2023,176400,165000,0,935.6356638936686,2.379570516540917,3.125,,2.379570516540912,ok,ok,sin_produccion,ok
0203003,2024,174400,163000,0,925.0275497905658,-1.1337868480725624,-1.2121212121212122,,-1.1337868480725626,ok,ok,sin_produccion,ok
0203003,2025,99500,90000,0,527.7536766293653,-42.94724770642202,-44.785276073619634,,-42.94724770642202,ok,ok,sin_produccion,ok
0203004,2021,164900,153500,0,1448.6062117419508,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203004,2022,162700,150700,0,1429.279749244484,-1.334141904184354,-1.8241042345276872,,-1.3341419041843448,ok,ok,sin_produccion,ok
0203004,2023,200700,187000,0,1763.1004651098212,23.355869698832205,24.087591240875913,,23.355869698832194,ok,ok,sin_produccion,ok
0203004,2024,165300,155000,0,1452.1201140142175,-17.638266068759343,-17.112299465240643,,-17.638266068759343,ok,ok,sin_produccion,ok
0203004,2025,135400,125000,0,1189.4559191622811,-18.08832425892317,-19.35483870967742,,-18.088324258923162,ok,ok,sin_produccion,ok
0203005,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203005,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203005,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203005,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203005,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203006,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203006,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203006,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203006,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203006,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203007,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203007,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203007,2023,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203007,2024,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203007,2025,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
0203008,2021,0,0,0,0,,,,,sin_anterior,sin_anterior,sin_anterior,sin_anterior
0203008,2022,0,0,0,0,,,,,sin_produccion,sin_produccion,sin_produccion,sin_produccion
