ATRIBUTO;XML;DESCRIPCION ;ORIGEN;LIMITANTES CONOCIDAS;NOTAS
EstratoCodigo;EstratoCodigo;Código del estrato;Tabla de estratos;;
EstratoDescripcion;EstratoDescripcion;Descripción del estrato;Tabla de estratos;;
